[  660338ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  663328ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  665400ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  669783ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  671214ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  674180ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  675979ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  679980ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  681554ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  685902ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  686364ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  690310ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  691677ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  695429ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  697179ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
[  699800ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/shell' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/static/js/shell.js:40
[  703752ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8484/state' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8484/terminal:194
